#{"t_start": 1629010397.2823474, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
4.0,299,5.184504
1.0,177,6.316683
0.0,127,7.122918
0.0,127,7.909874
0.0,129,8.722948
2.0,222,10.175978
0.0,129,10.954649
0.0,129,11.776256
5.0,352,14.040924
0.0,127,14.859193
4.0,325,17.197449
0.0,127,18.129363
0.0,125,19.051828
2.0,205,20.55582
0.0,125,21.344576
0.0,125,22.162513
1.0,171,23.269442
0.0,127,24.089302
1.0,173,25.213089
5.0,349,27.60962
2.0,204,28.988455
0.0,127,29.774097
2.0,204,31.108551
0.0,129,31.871412
1.0,173,33.066087
0.0,129,33.836135
0.0,125,34.626874
2.0,204,35.954798
1.0,175,37.034048
1.0,157,38.058759
0.0,127,38.868635
0.0,127,39.678681
0.0,125,40.462672
0.0,127,41.272476
2.0,223,42.733443
1.0,153,43.723387
1.0,175,44.867481
0.0,127,45.674714
0.0,129,46.472578
1.0,175,47.689445
1.0,173,48.74723
2.0,224,50.210263
1.0,173,51.333471
0.0,129,52.107289
0.0,127,52.942029
1.0,175,54.098293
1.0,152,55.080328
0.0,127,55.89103
0.0,127,56.686109
0.0,129,57.509484
4.0,277,59.343958
1.0,174,60.477845
1.0,174,61.586848
2.0,187,62.814459
0.0,129,63.634883
1.0,178,64.795781
0.0,129,65.626945
2.0,185,66.833292
0.0,129,67.675633
2.0,202,68.999673
1.0,170,70.110316
0.0,123,70.894861
2.0,218,72.372892
0.0,123,73.129847
4.0,298,75.111529
2.0,188,76.343297
1.0,176,77.509758
2.0,203,78.817671
0.0,127,79.628676
0.0,129,80.447951
2.0,207,81.79345
0.0,129,82.596602
0.0,129,83.403282
1.0,176,84.530337
1.0,171,85.602798
0.0,129,86.409641
0.0,125,87.191456
4.0,299,89.250991
2.0,201,90.560401
1.0,174,91.698973
0.0,125,92.476516
0.0,127,93.259877
0.0,127,94.026258
3.0,231,95.576873
2.0,222,97.062412
0.0,127,97.86611
0.0,127,98.65067
5.0,350,100.965109
1.0,178,102.142948
0.0,129,102.969356
1.0,175,104.086641
0.0,127,104.902933
5.0,351,107.283912
2.0,222,108.770608
2.0,204,110.043249
2.0,201,111.36324
8.0,372,113.832977
0.0,129,114.61961
9.0,404,117.362269
3.0,248,118.985089
3.0,236,120.515093
2.0,223,121.946482
0.0,129,122.756211
1.0,155,123.727955
1.0,176,124.870773
0.0,129,125.678638
3.0,215,127.12094
4.0,293,129.097692
2.0,202,130.408991
1.0,153,131.387201
4.0,256,133.080637
2.0,183,134.270445
0.0,125,135.05271
1.0,153,135.997506
0.0,125,136.798839
0.0,125,137.586014
1.0,175,138.684442
1.0,173,139.820685
4.0,319,141.963743
0.0,129,142.764493
0.0,127,143.585385
2.0,202,144.938599
0.0,125,145.693271
0.0,125,146.481588
1.0,174,147.630404
2.0,220,149.045073
1.0,155,150.075525
0.0,125,150.894345
1.0,175,151.977226
0.0,129,152.772497
2.0,202,154.121576
1.0,173,155.237787
0.0,129,156.068594
3.0,232,157.606076
3.0,252,159.253287
1.0,155,160.250222
2.0,203,161.586548
0.0,127,162.389695
1.0,173,163.506521
0.0,125,164.302657
0.0,127,165.100864
0.0,129,165.925991
2.0,223,167.394709
2.0,224,168.85341
1.0,173,169.941357
3.0,272,171.761132
0.0,129,172.580755
1.0,177,173.707353
1.0,157,174.714296
5.0,330,176.887556
0.0,129,177.714993
3.0,274,179.529945
1.0,174,180.633222
1.0,175,181.769582
0.0,125,182.578946
0.0,127,183.347145
3.0,228,184.853658
0.0,129,185.642949
0.0,125,186.456356
2.0,201,187.788937
0.0,125,188.566811
3.0,257,190.289764
2.0,202,191.609905
1.0,153,192.595134
4.0,279,194.490947
0.0,127,195.251293
0.0,127,196.05042
4.0,297,197.985204
1.0,173,199.071435
2.0,183,200.249321
5.0,328,202.452216
2.0,198,203.702986
0.0,125,204.500415
0.0,127,205.256256
0.0,127,206.037454
0.0,129,206.853302
0.0,127,207.68571
5.0,350,210.004213
1.0,157,211.020461
0.0,129,211.803558
0.0,129,212.69977
3.0,246,214.309412
