#{"t_start": 1629111830.4741156, "env_id": null}
r,l,t
11,100,2.436988
14,100,2.801554
7,100,3.190363
17,100,3.560843
11,100,3.949119
12,100,4.331834
13,100,4.688224
15,100,5.045539
17,100,5.410563
16,100,5.752397
9,100,6.111621
14,100,6.46584
18,100,6.82654
13,100,7.1936
18,100,7.556018
3,100,7.976728
9,100,8.337571
12,100,8.695404
12,100,9.082258
13,100,9.448982
17,100,9.840137
7,100,10.214041
10,100,10.581985
21,100,10.948552
8,100,11.34774
12,100,11.760466
12,100,12.111393
8,100,12.472606
10,100,12.842351
11,100,13.212452
9,100,13.576937
11,100,13.940576
11,100,14.295266
15,100,14.661935
14,100,15.02537
19,100,15.374
9,100,15.750952
14,100,16.129608
13,100,16.498393
14,100,16.891855
12,100,17.258729
11,100,17.64251
13,100,18.014
21,100,18.375232
11,100,18.742689
15,100,19.12854
15,100,19.500583
14,100,19.851085
16,100,20.249511
15,100,20.627001
11,100,21.016311
13,100,21.358296
11,100,21.732684
11,100,22.133337
11,100,22.516719
15,100,22.881172
9,100,23.251647
6,100,23.615101
8,100,23.970477
8,100,24.335612
3,100,24.697406
14,100,25.064621
6,100,25.437713
18,100,25.806011
8,100,26.195555
19,100,26.55646
14,100,26.931355
19,100,27.350831
12,100,27.761432
7,100,28.140326
18,100,28.520093
5,100,28.881778
10,100,29.230109
15,100,29.59811
19,100,30.004024
10,100,30.38747
10,100,30.753468
14,100,31.133956
11,100,31.556236
20,100,31.955096
10,100,32.302311
11,100,32.658471
8,100,33.002604
17,100,33.364693
10,100,33.723101
15,100,34.097584
22,100,34.457919
15,100,34.814855
17,100,35.210601
14,100,35.575252
9,100,35.942283
21,100,36.338746
16,100,36.723569
6,100,37.099701
8,100,37.479303
14,100,37.838199
14,100,38.244334
12,100,38.601186
14,100,38.976022
10,100,39.333888
14,100,39.706855
15,100,40.072137
16,100,40.486997
14,100,40.851473
18,100,41.223049
9,100,41.588901
22,100,41.945676
18,100,42.290254
13,100,42.653526
15,100,43.022347
14,100,43.387604
11,100,43.741964
14,100,44.114119
14,100,44.481102
7,100,44.844002
14,100,45.218313
11,100,45.590132
12,100,45.946245
11,100,46.322983
8,100,46.665962
8,100,47.05925
15,100,47.395115
12,100,47.777219
13,100,48.182316
14,100,48.545552
11,100,48.924878
17,100,49.291868
12,100,49.663592
17,100,50.021877
6,100,50.36444
10,100,50.725432
13,100,51.100531
15,100,51.474022
21,100,51.832725
12,100,52.236334
17,100,52.61342
13,100,53.020225
13,100,53.405658
14,100,53.771726
19,100,54.142151
15,100,54.512098
14,100,54.863395
15,100,55.234217
16,100,55.594412
15,100,55.948532
17,100,56.306542
8,100,56.677923
18,100,57.049239
12,100,57.433269
10,100,57.81917
15,100,58.199811
17,100,58.559948
13,100,58.936908
9,100,59.293541
14,100,59.693244
15,100,60.060022
9,100,60.422215
19,100,60.76512
12,100,61.140423
21,100,61.503346
18,100,61.90023
10,100,62.313108
14,100,62.687921
26,100,63.053633
11,100,63.420416
9,100,63.787436
15,100,64.158351
14,100,64.526332
16,100,64.924427
15,100,65.299696
17,100,65.688648
18,100,66.07023
15,100,66.448119
17,100,66.803007
16,100,67.163965
22,100,67.533787
14,100,67.916885
14,100,68.283169
7,100,68.657478
11,100,69.033176
7,100,69.418576
19,100,69.796288
20,100,70.164253
12,100,70.527999
14,100,70.918454
15,100,71.279903
17,100,71.633508
16,100,71.965855
14,100,72.339225
16,100,72.714835
13,100,73.063874
8,100,73.430484
16,100,73.81669
16,100,74.199125
11,100,74.572161
17,100,74.951607
21,100,75.322767
14,100,75.725584
13,100,76.103388
18,100,76.492398
18,100,76.870685
12,100,77.254897
12,100,77.623343
13,100,77.99684
15,100,78.367435
14,100,78.738845
19,100,79.106263
17,100,79.484864
17,100,79.862055
18,100,80.242093
19,100,80.606536
13,100,80.962787
20,100,81.338146
13,100,81.696769
12,100,82.055794
13,100,82.430382
11,100,82.854708
21,100,83.249519
16,100,83.616562
5,100,83.965539
20,100,84.39762
21,100,84.762718
14,100,85.158368
20,100,85.521892
17,100,85.890086
14,100,86.256112
21,100,86.63382
15,100,87.000926
17,100,87.374235
17,100,87.731346
14,100,88.107616
21,100,88.480106
19,100,88.838502
19,100,89.197773
16,100,89.553231
17,100,89.909764
15,100,90.26401
15,100,90.632614
19,100,91.022099
18,100,91.398029
13,100,91.806378
18,100,92.177217
13,100,92.549765
19,100,92.919461
15,100,93.288898
16,100,93.655854
15,100,94.017816
15,100,94.380758
23,100,94.77314
16,100,95.165622
10,100,95.515
19,100,95.896724
18,100,96.263827
15,100,96.668425
15,100,97.064094
22,100,97.411402
16,100,97.788643
17,100,98.154909
22,100,98.554861
18,100,98.920614
18,100,99.277697
13,100,99.656232
15,100,100.008921
17,100,100.383863
16,100,100.756261
16,100,101.102606
12,100,101.46535
14,100,101.818802
18,100,102.185251
15,100,102.545077
16,100,102.887453
19,100,103.238199
20,100,103.609893
16,100,103.976613
14,100,104.36555
17,100,104.735667
17,100,105.107768
16,100,105.469846
18,100,105.834487
17,100,106.210742
15,100,106.596871
17,100,106.987051
17,100,107.364203
15,100,107.761291
22,100,108.147272
13,100,108.519128
15,100,108.926431
13,100,109.292819
20,100,109.678312
15,100,110.052265
16,100,110.40469
19,100,110.741417
10,100,111.112653
13,100,111.490526
