#{"t_start": 1629153020.6446183, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
0.0,127,2.360827
2.0,204,3.747701
2.0,222,5.264245
2.0,220,6.900258
1.0,171,8.038377
2.0,202,9.383555
0.0,129,10.275787
1.0,171,11.443826
7.0,377,14.038261
1.0,173,15.285367
2.0,202,16.844578
3.0,228,18.417311
2.0,216,19.933242
0.0,129,20.755985
1.0,155,21.812776
1.0,171,23.059193
1.0,157,24.313803
2.0,200,25.767809
1.0,178,27.084048
0.0,127,27.917537
4.0,299,30.142631
0.0,129,31.016173
1.0,157,32.153608
9.0,402,35.105107
3.0,266,37.046741
2.0,202,38.668371
10.0,426,41.757107
0.0,129,42.736217
2.0,222,44.441531
0.0,127,45.326018
5.0,327,47.974983
0.0,125,48.920603
1.0,176,50.121456
0.0,129,51.002805
1.0,157,52.13993
2.0,224,53.834756
0.0,125,54.754397
2.0,208,56.223992
5.0,348,58.792972
0.0,127,59.613955
3.0,272,61.528537
1.0,171,62.728707
4.0,279,64.690926
3.0,270,66.553791
0.0,127,67.481722
0.0,123,68.424181
4.0,299,70.569458
4.0,282,72.610738
1.0,173,73.850559
4.0,279,75.899
3.0,250,77.748407
2.0,182,79.020125
0.0,125,79.844528
0.0,127,80.719188
0.0,125,81.543548
2.0,223,83.122591
2.0,204,84.572449
3.0,232,86.548676
0.0,127,87.524407
0.0,127,88.491761
0.0,129,89.544806
0.0,129,90.563961
4.0,299,93.288791
0.0,123,94.36505
0.0,123,95.302267
4.0,282,97.537909
2.0,204,99.152866
0.0,127,100.077785
1.0,154,101.249313
0.0,129,102.175719
0.0,129,103.257628
2.0,224,105.155746
2.0,202,106.788392
4.0,255,108.775184
0.0,129,109.875588
1.0,174,111.303459
0.0,127,112.273666
0.0,127,113.26281
1.0,155,114.520138
3.0,250,116.787579
0.0,127,117.776212
2.0,202,119.227992
2.0,187,120.667652
1.0,173,122.077882
0.0,129,123.036218
0.0,127,124.091871
0.0,127,125.126154
0.0,127,126.215754
3.0,256,128.400965
0.0,127,129.501638
0.0,125,130.40174
0.0,127,131.485553
2.0,202,133.467896
0.0,127,134.555479
5.0,349,137.312613
1.0,169,138.67831
0.0,129,139.704563
0.0,129,140.56671
0.0,129,141.459386
0.0,127,142.302535
3.0,253,144.114728
6.0,335,146.392372
2.0,192,147.725281
1.0,175,148.989954
0.0,127,149.892788
0.0,129,150.826226
1.0,176,152.015368
5.0,344,154.459742
4.0,299,156.579662
1.0,155,157.698304
2.0,202,159.116531
2.0,224,160.661093
0.0,127,161.491568
1.0,175,162.697631
0.0,127,163.544314
0.0,125,164.400899
0.0,125,165.209541
1.0,157,166.262753
6.0,402,169.12985
2.0,209,170.608383
0.0,129,171.458228
0.0,125,172.251521
1.0,171,173.426713
1.0,173,174.614168
3.0,234,176.220394
4.0,300,178.379274
3.0,252,180.084152
0.0,127,181.026539
1.0,176,182.244077
0.0,127,183.123731
1.0,174,184.299959
0.0,129,185.169533
2.0,218,186.817397
4.0,297,189.073161
1.0,173,190.324811
1.0,153,191.463912
2.0,220,193.151624
1.0,175,194.749305
0.0,127,196.202771
0.0,127,197.35985
1.0,173,199.032322
4.0,297,201.85224
2.0,222,203.937012
1.0,173,205.49327
3.0,250,208.1385
0.0,129,209.256443
0.0,129,210.403045
2.0,203,212.074062
0.0,129,213.219101
0.0,127,214.303058
0.0,127,215.384536
3.0,248,217.424569
0.0,129,218.418641
0.0,125,219.398607
5.0,350,222.272936
1.0,175,223.645129
1.0,153,224.80369
1.0,173,226.126036
0.0,129,226.994061
2.0,200,228.501605
0.0,127,229.409894
3.0,250,231.224719
0.0,129,232.088332
1.0,176,233.291137
2.0,184,234.739222
2.0,198,236.399755
4.0,299,239.091693
6.0,402,242.332523
4.0,299,244.793673
0.0,129,245.828043
1.0,177,247.202303
1.0,172,248.552852
1.0,155,249.728677
3.0,249,251.701692
1.0,176,253.023246
1.0,173,254.381977
3.0,248,256.361755
1.0,156,257.581015
3.0,270,259.780365
4.0,315,262.441459
3.0,249,264.452503
3.0,252,266.536695
2.0,199,268.121342
4.0,300,270.596591
10.0,431,274.262448
