#{"t_start": 1629153020.5401955, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
0.0,125,2.432389
0.0,127,3.278784
2.0,202,4.646814
0.0,127,5.502367
1.0,155,6.582177
2.0,200,7.961094
3.0,250,9.686912
0.0,127,10.559976
3.0,249,12.262681
1.0,171,13.351298
0.0,129,14.245482
0.0,125,15.092423
1.0,176,16.420928
4.0,282,18.449217
0.0,125,19.2892
0.0,127,20.139947
2.0,223,21.660129
0.0,129,22.557616
1.0,157,23.770594
1.0,176,25.112172
0.0,129,26.004765
0.0,127,26.883215
1.0,175,28.134892
1.0,153,29.179528
1.0,175,30.462885
1.0,155,31.552825
3.0,250,33.385446
1.0,155,34.433193
0.0,129,35.317905
0.0,129,36.14668
3.0,272,38.265959
4.0,321,40.663328
0.0,129,41.524414
4.0,299,43.843638
0.0,127,44.806862
1.0,173,46.112737
1.0,176,47.447084
0.0,127,48.437358
2.0,184,49.800344
0.0,129,50.648409
0.0,125,51.477585
3.0,230,53.256536
1.0,175,54.524435
1.0,155,55.640131
1.0,173,56.85808
0.0,127,57.762302
2.0,222,59.295615
1.0,171,60.465856
2.0,226,62.059822
2.0,207,63.459719
0.0,129,64.344523
0.0,125,65.162673
1.0,155,66.178276
1.0,175,67.423043
3.0,234,69.232252
0.0,129,70.089552
2.0,204,71.529962
2.0,218,73.102794
3.0,250,74.953139
0.0,127,75.793467
0.0,125,76.642937
3.0,246,78.469446
0.0,129,79.334255
2.0,200,80.750077
1.0,155,81.802835
2.0,224,83.375094
1.0,157,84.433265
0.0,129,85.468244
2.0,200,87.171285
0.0,129,88.145992
2.0,200,89.806182
0.0,129,90.83804
1.0,157,92.255752
2.0,202,94.040677
0.0,129,95.080989
2.0,202,96.605676
1.0,175,98.000083
0.0,125,98.938832
2.0,202,100.492838
7.0,427,104.105601
2.0,200,105.756235
3.0,250,107.751459
3.0,251,109.834052
1.0,172,111.246822
4.0,321,113.899738
1.0,174,115.417154
0.0,127,116.466952
3.0,270,118.676548
1.0,157,119.777591
0.0,129,120.769979
2.0,224,122.65635
0.0,129,123.616944
0.0,125,124.702646
0.0,129,125.695585
0.0,127,126.791954
0.0,129,127.803073
0.0,129,128.857043
3.0,248,130.971984
2.0,206,132.931059
3.0,248,135.280853
0.0,129,136.204452
0.0,125,137.061659
6.0,399,140.318294
0.0,129,141.165458
0.0,129,142.075054
0.0,129,142.932282
1.0,157,143.98596
0.0,129,144.846977
2.0,200,146.128612
1.0,155,147.210026
0.0,129,148.079683
0.0,127,148.956229
2.0,204,150.448607
2.0,198,151.860738
5.0,350,154.356061
2.0,183,155.557281
0.0,127,156.442223
0.0,127,157.313072
4.0,282,159.399261
4.0,318,161.622607
0.0,127,162.444699
0.0,127,163.299005
1.0,157,164.389503
1.0,178,165.601097
2.0,200,167.009283
0.0,129,167.82657
0.0,127,168.668187
0.0,129,169.546087
2.0,200,170.938863
0.0,129,171.768455
2.0,220,173.272382
3.0,252,175.03909
1.0,170,176.190866
0.0,129,177.059786
3.0,250,178.840663
1.0,175,179.977344
1.0,171,181.240658
0.0,129,182.080253
2.0,223,183.684166
0.0,127,184.554118
0.0,129,185.429802
0.0,129,186.318081
0.0,127,187.225003
1.0,173,188.472003
1.0,157,189.644344
0.0,129,190.573905
0.0,125,191.474508
0.0,127,192.324371
0.0,129,193.349737
4.0,279,196.30545
0.0,127,197.463852
0.0,127,198.678272
1.0,153,200.1462
0.0,127,201.261989
2.0,202,202.965397
0.0,127,204.213994
3.0,271,206.815933
0.0,129,208.165647
0.0,129,209.291451
0.0,129,210.443322
0.0,125,211.439031
0.0,129,212.492705
0.0,129,213.600651
0.0,125,214.683331
3.0,248,216.791841
0.0,127,217.782437
0.0,129,218.799859
0.0,125,219.713851
0.0,127,220.632195
3.0,254,222.755245
2.0,199,224.314586
1.0,157,225.518019
1.0,152,226.611264
0.0,127,227.51069
1.0,155,228.653409
0.0,127,229.557346
1.0,171,230.807619
3.0,253,232.553444
0.0,127,233.417255
3.0,274,235.637705
0.0,127,236.684926
1.0,175,238.253521
0.0,125,239.266974
2.0,182,240.653861
3.0,277,242.859143
0.0,127,243.820618
2.0,201,245.463107
1.0,154,246.680953
1.0,175,248.080389
5.0,348,250.855603
2.0,224,252.609305
0.0,127,253.554253
2.0,198,255.102552
0.0,123,256.014042
2.0,220,257.810902
0.0,127,258.755162
1.0,157,260.010016
4.0,321,262.714393
3.0,247,264.741542
0.0,129,265.723989
0.0,129,266.720258
2.0,202,268.340459
3.0,250,270.360507
2.0,202,272.048474
1.0,175,273.425464
1.0,155,274.684453
0.0,129,275.62168
0.0,127,276.609913
0.0,129,277.579879
2.0,224,279.402312
4.0,297,281.764341
0.0,127,282.585841
1.0,173,283.740833
1.0,171,284.977321
3.0,250,286.929637
4.0,301,289.771639
2.0,206,291.400784
1.0,153,292.589528
1.0,171,293.830989
3.0,234,295.692315
0.0,129,296.695077
0.0,125,297.604209
1.0,155,298.762516
3.0,244,300.640319
1.0,155,301.79075
0.0,125,302.681946
2.0,224,304.430922
1.0,173,305.777511
0.0,127,306.742891
0.0,129,307.722351
1.0,173,309.04434
3.0,268,311.13692
0.0,129,312.062983
1.0,171,313.367728
0.0,127,314.333584
2.0,202,315.856893
0.0,127,316.813219
0.0,127,317.756114
3.0,248,319.791127
1.0,175,321.061409
4.0,298,323.400669
2.0,220,325.04083
1.0,155,326.235651
2.0,222,327.870666
2.0,227,329.628787
0.0,127,330.548753
1.0,175,331.906215
0.0,125,332.832948
2.0,201,334.414525
2.0,224,336.14308
1.0,175,337.469565
0.0,125,338.415917
0.0,129,339.430968
1.0,157,340.578841
0.0,127,341.508466
0.0,127,342.449458
2.0,206,344.022602
0.0,129,344.987435
0.0,127,345.892865
3.0,270,348.025644
2.0,200,349.567479
2.0,220,351.22666
3.0,246,353.212397
9.0,403,356.411526
1.0,153,357.543588
1.0,155,358.753745
0.0,127,359.665545
0.0,127,360.632616
3.0,255,362.63721
2.0,204,364.184331
0.0,129,365.144948
1.0,174,366.475592
1.0,176,367.747506
1.0,175,369.093263
0.0,129,370.020061
1.0,157,371.20138
2.0,200,372.756398
0.0,129,373.722684
0.0,127,374.657393
0.0,129,375.600863
4.0,304,377.939813
1.0,173,379.248578
5.0,367,382.1107
1.0,153,383.247229
3.0,268,385.344934
0.0,125,386.27289
3.0,275,388.36629
0.0,127,389.263042
2.0,200,390.861485
7.0,419,394.154348
1.0,173,395.440409
1.0,173,396.799467
1.0,175,398.180017
1.0,172,399.548486
2.0,225,401.25838
0.0,127,402.199437
0.0,129,403.178452
0.0,129,404.128933
3.0,254,406.123099
1.0,157,407.331352
3.0,270,409.373839
0.0,127,410.34012
4.0,299,412.735092
9.0,403,415.914049
0.0,127,416.87456
1.0,153,418.324931
4.0,277,420.715681
0.0,129,421.633085
0.0,127,422.440386
0.0,127,423.314794
1.0,177,424.479532
0.0,129,425.322642
3.0,272,427.152349
2.0,202,428.494375
2.0,202,429.800198
0.0,125,430.643687
0.0,127,431.549571
0.0,127,432.399332
0.0,127,433.327283
0.0,127,434.391281
5.0,352,437.830246
4.0,302,440.718503
0.0,127,441.711388
5.0,352,444.754055
2.0,184,446.221193
0.0,123,447.227971
0.0,127,448.196803
2.0,202,449.830021
1.0,173,451.185213
2.0,202,452.852801
0.0,129,453.891714
0.0,129,454.93175
4.0,321,457.683837
0.0,129,458.713502
0.0,127,459.699971
0.0,127,460.712244
1.0,175,462.138865
0.0,129,463.113472
1.0,173,464.517519
1.0,175,465.893097
2.0,202,467.499991
2.0,219,469.341285
4.0,319,471.955415
0.0,127,472.963689
1.0,157,474.231886
1.0,155,475.426695
0.0,125,476.4445
4.0,284,479.031425
0.0,125,480.184594
2.0,202,482.093703
3.0,231,484.264418
3.0,272,486.745425
3.0,252,489.062028
1.0,178,490.499103
2.0,204,492.20194
1.0,155,493.56336
0.0,125,494.591516
2.0,223,496.563971
1.0,173,497.91804
2.0,206,499.820436
1.0,171,501.158713
0.0,125,502.055679
5.0,373,505.299159
0.0,125,506.312549
0.0,129,507.415348
2.0,203,509.327456
0.0,123,510.432894
3.0,272,513.016394
0.0,127,514.3363
2.0,201,516.349445
4.0,243,518.656237
0.0,127,519.842352
3.0,250,522.133457
1.0,173,523.487377
1.0,155,524.823517
2.0,201,526.388252
0.0,129,527.406221
3.0,250,529.496204
2.0,224,531.323559
1.0,173,532.667262
0.0,129,533.658548
0.0,127,534.72849
0.0,129,535.739594
5.0,347,538.593306
0.0,129,539.667351
0.0,127,540.823567
3.0,216,542.682029
3.0,250,544.839961
3.0,235,546.651352
1.0,173,548.035134
2.0,224,549.787256
0.0,129,550.793149
0.0,125,551.761529
1.0,157,552.935943
0.0,129,553.973855
3.0,236,555.865461
1.0,173,557.214388
1.0,176,558.665265
0.0,127,559.653637
0.0,125,560.667413
1.0,178,562.094815
1.0,155,563.310552
4.0,279,565.625429
2.0,221,567.742129
0.0,129,568.79897
2.0,221,570.563241
1.0,158,571.810233
1.0,173,573.260685
0.0,125,574.29922
2.0,185,576.051247
3.0,273,578.780188
2.0,222,580.745787
0.0,127,581.732322
2.0,202,583.394316
1.0,175,584.990352
0.0,127,585.948168
0.0,129,586.877229
