#{"t_start": 1629221051.1277828, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
7.0,250,5.463657
2.0,198,6.734484
2.0,198,7.990354
2.0,198,9.245321
2.0,198,10.508481
2.0,198,11.762945
0.0,127,12.544616
0.0,129,13.348996
0.0,129,14.118016
0.0,129,14.944766
9.0,404,17.687721
9.0,404,20.397754
0.0,129,21.26775
9.0,404,24.069453
0.0,129,24.924628
0.0,129,25.771155
0.0,129,26.609315
0.0,129,27.414355
0.0,129,28.259148
0.0,129,29.135349
9.0,404,31.956007
0.0,129,32.80765
0.0,129,33.622459
0.0,129,34.430873
0.0,129,35.276288
0.0,129,36.114212
5.0,350,38.460381
2.0,198,39.752699
2.0,198,41.04831
2.0,198,42.343053
2.0,198,43.65533
2.0,198,44.961552
2.0,198,46.247148
2.0,198,47.531019
2.0,198,48.819071
2.0,198,50.112741
2.0,198,51.415645
2.0,198,52.705318
2.0,198,54.003503
2.0,198,55.331174
2.0,198,56.630054
2.0,198,57.915961
2.0,198,59.199359
2.0,198,60.500084
2.0,198,61.78312
2.0,198,63.07279
2.0,198,64.376337
2.0,198,65.666412
2.0,198,66.985517
2.0,198,68.266816
2.0,198,69.552603
2.0,198,70.844405
2.0,198,72.152974
2.0,198,73.443643
2.0,198,74.728628
2.0,198,76.011478
2.0,198,77.326385
2.0,198,78.63036
2.0,198,79.91254
2.0,198,81.204955
2.0,198,82.485816
2.0,198,83.79235
2.0,198,85.085244
2.0,198,86.376206
2.0,198,87.664421
2.0,198,88.978396
2.0,198,90.256688
2.0,198,91.549039
2.0,198,92.827739
2.0,198,94.112687
2.0,198,95.443815
2.0,198,96.73188
2.0,198,98.016017
2.0,198,99.312564
2.0,198,100.619171
2.0,198,101.914958
2.0,198,103.207811
2.0,198,104.518872
2.0,198,105.830781
2.0,198,107.112489
2.0,198,108.403577
2.0,198,109.686302
2.0,198,110.974129
2.0,198,112.2924
2.0,198,113.579845
2.0,198,114.865399
2.0,198,116.156504
2.0,198,117.470646
2.0,198,118.808922
2.0,198,120.095214
2.0,198,121.388329
2.0,198,122.70978
2.0,198,123.982071
2.0,198,125.299695
2.0,198,126.585845
2.0,198,127.878274
2.0,198,129.182135
2.0,198,130.458757
2.0,198,131.741802
2.0,198,133.036096
2.0,198,134.359
2.0,198,135.633058
2.0,198,136.92117
2.0,198,138.213941
2.0,198,139.523452
2.0,198,140.808086
2.0,198,142.109131
2.0,198,143.398592
2.0,198,144.705112
2.0,198,146.015584
2.0,198,147.316703
2.0,198,148.594053
2.0,198,149.896758
2.0,198,151.221806
2.0,198,152.509572
2.0,198,153.797614
2.0,198,155.071341
2.0,198,156.397954
2.0,198,157.685065
2.0,198,158.981093
2.0,198,160.277195
2.0,198,161.562035
2.0,198,162.880464
2.0,198,164.163872
2.0,198,165.47291
2.0,198,166.764044
2.0,198,168.075915
2.0,198,169.365544
2.0,198,170.637971
2.0,198,171.920428
2.0,198,173.233611
2.0,198,174.519205
2.0,198,175.814071
2.0,198,177.100017
2.0,198,178.383738
2.0,198,179.697152
2.0,198,180.976539
2.0,198,182.275626
2.0,198,183.564142
2.0,198,184.90396
2.0,198,186.183377
2.0,198,187.457337
2.0,198,188.748606
2.0,198,190.076408
2.0,198,191.363041
2.0,198,192.639205
2.0,198,193.928345
2.0,198,195.219422
2.0,198,196.512702
2.0,198,197.802343
2.0,198,199.088589
2.0,198,200.37318
2.0,198,201.683177
2.0,198,202.965902
2.0,198,204.279621
2.0,198,205.584354
2.0,198,206.907342
2.0,198,208.184777
2.0,198,209.467752
2.0,198,210.759126
2.0,198,212.049169
0.0,129,212.896108
0.0,129,213.654238
0.0,129,214.461328
0.0,129,215.308363
9.0,404,218.092375
9.0,404,220.906367
9.0,404,223.634089
0.0,129,224.503289
9.0,404,227.291593
9.0,404,230.112039
0.0,129,230.94238
0.0,129,231.77141
9.0,404,234.585131
0.0,129,235.376451
0.0,129,236.228707
9.0,404,239.010557
0.0,129,239.81442
0.0,129,240.638038
0.0,129,241.514431
9.0,404,244.274961
0.0,129,245.120208
0.0,129,245.949457
9.0,404,248.72584
0.0,129,249.522696
0.0,129,250.345325
0.0,129,251.186359
0.0,129,251.998769
0.0,129,252.846501
0.0,129,253.680434
0.0,129,254.515111
0.0,129,255.370245
0.0,129,256.226074
9.0,404,258.965018
0.0,129,259.795791
0.0,129,260.652543
9.0,404,263.422412
0.0,129,264.300039
0.0,129,265.109397
9.0,404,267.866218
0.0,129,268.701995
0.0,129,269.517834
0.0,129,270.346855
0.0,129,271.168264
0.0,129,271.993193
0.0,129,272.785193
9.0,404,275.520435
0.0,129,276.377534
0.0,129,277.222274
0.0,129,278.027202
0.0,129,278.830093
0.0,129,279.669394
0.0,129,280.488565
0.0,129,281.334835
0.0,129,282.185087
0.0,129,283.004926
0.0,129,283.815187
9.0,404,286.660305
9.0,404,289.371926
0.0,129,290.21591
0.0,129,291.078629
0.0,129,291.885016
0.0,129,292.72173
0.0,129,293.554807
0.0,129,294.351152
0.0,129,295.148233
0.0,129,295.964783
9.0,404,298.750084
0.0,129,299.556181
0.0,129,300.358476
9.0,404,303.088968
0.0,129,303.890151
0.0,129,304.739518
9.0,404,307.503039
0.0,129,308.302233
0.0,129,309.133394
0.0,129,309.973785
9.0,404,312.722788
9.0,404,315.480551
0.0,129,316.322377
0.0,129,317.12825
9.0,404,319.866175
0.0,129,320.729995
0.0,129,321.578139
0.0,129,322.385888
0.0,129,323.22187
9.0,404,326.051113
0.0,129,326.898965
0.0,129,327.727202
9.0,404,330.445924
9.0,404,333.241052
0.0,129,334.084694
9.0,404,336.867308
0.0,129,337.681438
0.0,129,338.541939
9.0,404,341.2806
9.0,404,344.075131
0.0,129,344.948751
9.0,404,347.723804
0.0,129,348.543602
0.0,129,349.400706
9.0,404,352.205934
0.0,129,353.02888
0.0,129,353.835802
9.0,404,356.596651
0.0,129,357.428202
0.0,129,358.236402
0.0,129,359.038624
9.0,404,361.889261
0.0,129,362.704508
0.0,129,363.543983
0.0,129,364.396345
0.0,129,365.204652
9.0,404,367.9551
0.0,129,368.720996
0.0,129,369.519006
0.0,129,370.365843
0.0,129,371.218669
0.0,129,372.037567
0.0,129,372.845189
0.0,129,373.671969
0.0,129,374.496718
0.0,129,375.323312
0.0,129,376.169008
0.0,129,376.995749
9.0,404,379.768171
0.0,129,380.601257
0.0,129,381.452803
0.0,129,382.308706
0.0,129,383.14056
0.0,129,383.972737
0.0,129,384.811285
9.0,404,387.523939
0.0,129,388.338372
0.0,129,389.16612
0.0,129,390.009917
0.0,129,390.838923
0.0,129,391.676328
0.0,129,392.46534
