#{"t_start": 1629019541.1974566, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
1.0,173,2.719831
1.0,171,3.860189
0.0,125,4.622018
3.0,248,6.253965
1.0,157,7.307978
0.0,125,8.081444
0.0,129,8.880598
2.0,186,10.087446
2.0,202,11.404123
0.0,129,12.177298
10.0,435,15.101441
9.0,404,17.903236
0.0,129,18.732829
4.0,299,20.748839
2.0,205,22.107689
0.0,127,22.916864
1.0,155,23.950204
1.0,171,25.100055
2.0,200,26.400587
0.0,129,27.210282
5.0,308,29.299613
1.0,171,30.442512
0.0,127,31.263937
4.0,258,32.968252
0.0,123,33.749192
0.0,123,34.534477
3.0,275,36.435908
1.0,174,37.562285
1.0,155,38.571028
1.0,157,39.603745
3.0,231,41.185569
1.0,150,42.16235
3.0,250,43.83482
4.0,277,45.716443
3.0,270,47.535333
2.0,222,48.992815
1.0,169,50.078067
4.0,301,52.066703
0.0,129,52.919739
1.0,157,53.964072
0.0,129,54.786865
0.0,129,55.604577
0.0,127,56.424374
1.0,158,57.427929
0.0,125,58.237671
0.0,129,59.096601
2.0,222,60.555976
0.0,127,61.346974
9.0,402,64.123129
0.0,127,64.977567
0.0,129,65.785118
0.0,129,66.601842
0.0,127,67.425108
1.0,153,68.447334
0.0,123,69.226846
0.0,127,70.006803
1.0,173,71.152345
3.0,250,72.793857
0.0,127,73.610344
0.0,127,74.380658
2.0,202,75.727711
2.0,222,77.133866
1.0,170,78.238621
0.0,127,79.030409
1.0,171,80.13562
4.0,278,81.99957
3.0,252,83.709527
4.0,298,85.757601
7.0,325,87.992656
0.0,127,88.789464
0.0,125,89.590943
2.0,228,91.097404
0.0,127,91.891645
3.0,228,93.376536
1.0,157,94.358078
5.0,370,96.899951
3.0,236,98.505851
1.0,171,99.656871
0.0,125,100.45381
0.0,127,101.25659
1.0,171,102.346274
0.0,127,103.150024
1.0,173,104.289673
1.0,171,105.451201
0.0,129,106.285541
3.0,230,107.823513
2.0,201,109.100056
4.0,264,110.873695
2.0,202,112.212015
0.0,127,113.061581
0.0,127,113.928531
4.0,280,115.827219
2.0,220,117.247287
1.0,175,118.374169
0.0,129,119.21577
3.0,272,121.023959
1.0,157,122.048146
1.0,171,123.14699
2.0,204,124.521566
0.0,129,125.331415
4.0,320,127.496197
5.0,348,129.867281
2.0,200,131.191909
2.0,200,132.484426
0.0,129,133.29836
0.0,129,134.140535
1.0,154,135.113654
0.0,129,135.905639
0.0,129,136.725414
2.0,224,138.20629
0.0,129,138.999429
5.0,346,141.324077
2.0,202,142.625116
1.0,173,143.717855
2.0,204,145.066728
2.0,187,146.309091
0.0,129,147.155788
1.0,175,148.346527
2.0,202,149.724943
1.0,157,150.745111
1.0,155,151.710998
4.0,299,153.676829
2.0,187,154.859078
1.0,173,156.031261
1.0,171,157.167218
1.0,155,158.168892
1.0,175,159.311503
3.0,248,161.011541
0.0,129,161.807319
2.0,187,163.063533
0.0,129,163.870839
0.0,127,164.643633
0.0,129,165.473969
0.0,127,166.264539
0.0,127,167.066177
0.0,127,167.881999
0.0,127,168.699705
0.0,129,169.53829
5.0,328,171.763271
0.0,127,172.593769
0.0,129,173.39242
5.0,329,175.618554
0.0,129,176.406339
0.0,123,177.180999
4.0,322,179.335825
5.0,351,181.690868
3.0,249,183.314769
1.0,173,184.462209
2.0,222,185.959581
0.0,125,186.751341
1.0,177,187.889757
2.0,227,189.416869
0.0,125,190.21962
0.0,129,191.037163
