#{"t_start": 1629091652.4578073, "env_id": null}
r,l,t
6,100,1.818943
11,100,1.983002
14,100,2.159697
11,100,2.328577
13,100,2.502815
16,100,2.677609
10,100,2.848354
12,100,3.015994
11,100,3.199445
10,100,3.368989
8,100,3.542416
13,100,3.714695
7,100,3.885852
14,100,4.055249
20,100,4.258199
8,100,4.43459
8,100,4.615883
14,100,4.786052
6,100,4.983701
9,100,5.170773
11,100,5.351903
9,100,5.536262
7,100,5.736453
5,100,5.914572
8,100,6.116095
9,100,6.287188
5,100,6.459195
15,100,6.639748
15,100,6.823862
14,100,7.005638
7,100,7.186769
11,100,7.351705
9,100,7.539115
7,100,7.715664
8,100,7.884063
5,100,8.050251
9,100,8.222744
10,100,8.399707
7,100,8.570424
18,100,8.74069
9,100,8.926833
7,100,9.097184
11,100,9.271227
7,100,9.440934
11,100,9.61258
12,100,9.784919
10,100,9.958183
12,100,10.129277
13,100,10.31974
14,100,10.489803
10,100,10.663598
14,100,10.831735
9,100,11.005657
13,100,11.177306
7,100,11.347389
9,100,11.532192
12,100,11.722039
16,100,11.914391
11,100,12.086491
14,100,12.256665
19,100,12.431025
13,100,12.61166
22,100,12.786537
15,100,12.974082
11,100,13.164848
8,100,13.3394
10,100,13.509987
19,100,13.685433
16,100,13.866902
11,100,14.039375
14,100,14.214719
13,100,14.399125
11,100,14.581733
18,100,14.774237
14,100,14.959532
11,100,15.15012
7,100,15.335055
10,100,15.518024
20,100,15.695485
16,100,15.867385
11,100,16.047891
20,100,16.251664
11,100,16.438619
22,100,16.620919
12,100,16.811337
14,100,16.995328
16,100,17.186388
16,100,17.354995
10,100,17.56801
14,100,17.751599
18,100,17.94438
11,100,18.126532
13,100,18.314281
13,100,18.511259
21,100,18.690713
8,100,18.868012
13,100,19.066373
11,100,19.244012
11,100,19.429841
16,100,19.60788
15,100,19.79084
10,100,19.968106
10,100,20.153811
16,100,20.340382
9,100,20.539267
12,100,20.735087
9,100,20.915623
14,100,21.096009
14,100,21.279969
15,100,21.454244
13,100,21.629886
12,100,21.797543
12,100,21.999398
15,100,22.168349
15,100,22.343107
6,100,22.513259
12,100,22.686322
18,100,22.871884
10,100,23.071041
15,100,23.241315
11,100,23.417701
14,100,23.593672
14,100,23.777391
15,100,23.970652
15,100,24.151127
14,100,24.324044
12,100,24.509209
12,100,24.692746
12,100,24.892293
17,100,25.094857
16,100,25.272626
14,100,25.454212
12,100,25.654706
15,100,25.858387
17,100,26.046248
10,100,26.231833
19,100,26.416932
18,100,26.605858
20,100,26.781201
12,100,26.962985
12,100,27.143514
9,100,27.324209
18,100,27.51264
17,100,27.698253
16,100,27.897556
15,100,28.075812
13,100,28.257788
11,100,28.442505
6,100,28.630474
13,100,28.815561
15,100,29.010594
13,100,29.202127
16,100,29.390337
9,100,29.573096
11,100,29.763929
16,100,29.934358
21,100,30.123209
13,100,30.292487
10,100,30.479221
16,100,30.65988
17,100,30.851327
17,100,31.015692
14,100,31.19268
12,100,31.366745
15,100,31.546169
17,100,31.719422
15,100,31.896214
13,100,32.072736
22,100,32.27112
16,100,32.448154
12,100,32.632847
12,100,32.804425
18,100,32.982549
19,100,33.150219
15,100,33.329142
13,100,33.510084
15,100,33.721707
18,100,33.9035
14,100,34.081374
19,100,34.261881
12,100,34.442405
11,100,34.631072
10,100,34.817613
24,100,34.995386
11,100,35.179444
12,100,35.348334
15,100,35.524936
10,100,35.700582
13,100,35.86922
13,100,36.052218
15,100,36.238169
17,100,36.433727
12,100,36.620794
8,100,36.790742
15,100,36.968175
12,100,37.143393
13,100,37.325925
14,100,37.507733
13,100,37.702523
11,100,37.882638
13,100,38.069336
12,100,38.263899
19,100,38.450522
14,100,38.628312
19,100,38.816989
14,100,38.98658
20,100,39.158901
21,100,39.331896
10,100,39.512503
15,100,39.695026
9,100,39.872453
16,100,40.041454
25,100,40.220479
18,100,40.397489
17,100,40.58673
18,100,40.763711
15,100,40.95431
12,100,41.122981
16,100,41.294537
18,100,41.459281
7,100,41.639937
15,100,41.816772
15,100,42.011818
14,100,42.193291
17,100,42.387777
13,100,42.563781
20,100,42.741924
14,100,42.918554
16,100,43.097291
19,100,43.27835
19,100,43.465909
16,100,43.655472
13,100,43.847093
20,100,44.016246
14,100,44.197769
10,100,44.373845
18,100,44.556287
8,100,44.738499
20,100,44.931166
13,100,45.139073
17,100,45.331975
10,100,45.509119
10,100,45.707725
10,100,45.88417
17,100,46.065524
15,100,46.242885
13,100,46.441645
10,100,46.622859
8,100,46.812658
18,100,46.984802
13,100,47.167497
