#{"t_start": 1629126858.7437985, "env_id": null}
r,l,t
11,100,2.171704
8,100,2.463399
6,100,2.756727
12,100,3.055912
8,100,3.35303
8,100,3.64916
14,100,3.949762
16,100,4.247001
15,100,4.560624
13,100,4.859063
3,100,5.154611
17,100,5.44536
10,100,5.743246
11,100,6.034911
14,100,6.327495
15,100,6.60595
3,100,6.888957
5,100,7.175989
11,100,7.472157
17,100,7.763418
6,100,8.062021
15,100,8.350789
8,100,8.653074
8,100,8.946229
15,100,9.260909
9,100,9.555387
9,100,9.854992
6,100,10.155814
16,100,10.45368
10,100,10.750586
12,100,11.051386
12,100,11.349936
11,100,11.666014
10,100,11.966309
7,100,12.278326
13,100,12.572865
12,100,12.889934
18,100,13.196535
9,100,13.486415
12,100,13.781201
13,100,14.083785
10,100,14.370335
14,100,14.663491
17,100,14.953237
12,100,15.246285
11,100,15.535194
13,100,15.83086
13,100,16.118882
13,100,16.414404
12,100,16.707236
21,100,16.999575
9,100,17.29388
9,100,17.588345
19,100,17.870048
10,100,18.162766
23,100,18.454628
13,100,18.752836
16,100,19.052494
10,100,19.355924
11,100,19.671147
12,100,19.965055
19,100,20.27808
15,100,20.598904
12,100,20.886087
13,100,21.187294
15,100,21.470724
13,100,21.762774
17,100,22.064105
16,100,22.361592
18,100,22.654764
17,100,22.968438
8,100,23.256289
16,100,23.555102
19,100,23.848036
9,100,24.134655
12,100,24.428862
17,100,24.731001
18,100,25.01857
15,100,25.311065
13,100,25.596884
16,100,25.89664
17,100,26.191942
16,100,26.502748
15,100,26.793494
14,100,27.089381
14,100,27.375446
15,100,27.667648
16,100,27.952808
15,100,28.26404
20,100,28.571769
21,100,28.876577
21,100,29.185885
13,100,29.500196
14,100,29.791258
15,100,30.087982
7,100,30.383529
11,100,30.69451
11,100,30.983918
18,100,31.281587
23,100,31.601747
16,100,31.896905
20,100,32.1862
17,100,32.4775
10,100,32.775722
12,100,33.080727
13,100,33.367085
19,100,33.653548
14,100,33.948168
13,100,34.257039
13,100,34.56166
10,100,34.867755
13,100,35.159722
10,100,35.469448
10,100,35.763886
13,100,36.062653
11,100,36.363462
20,100,36.659568
11,100,36.947371
11,100,37.238009
23,100,37.548608
12,100,37.854356
21,100,38.152356
16,100,38.452159
13,100,38.741901
17,100,39.040452
16,100,39.33986
11,100,39.659899
13,100,39.960157
18,100,40.263424
12,100,40.5613
13,100,40.857347
19,100,41.144206
13,100,41.433234
19,100,41.734735
17,100,42.032474
15,100,42.331534
14,100,42.639399
14,100,42.934494
7,100,43.234706
6,100,43.539896
11,100,43.844484
15,100,44.150356
17,100,44.455923
13,100,44.746559
7,100,45.091149
18,100,45.384762
19,100,45.681168
14,100,45.978091
15,100,46.267405
13,100,46.563667
13,100,46.88627
11,100,47.18573
24,100,47.494177
11,100,47.780559
20,100,48.089087
16,100,48.380317
17,100,48.67898
16,100,48.968427
14,100,49.256473
22,100,49.538701
26,100,49.847208
15,100,50.138586
20,100,50.43628
19,100,50.73205
20,100,51.03129
19,100,51.332778
18,100,51.626354
19,100,51.912287
20,100,52.207422
16,100,52.508767
13,100,52.80199
13,100,53.112967
20,100,53.407602
15,100,53.708701
17,100,53.997486
15,100,54.288539
23,100,54.586919
12,100,54.876064
23,100,55.167735
12,100,55.458073
17,100,55.793441
20,100,56.091191
16,100,56.382128
19,100,56.678227
22,100,56.979643
16,100,57.271946
14,100,57.568674
20,100,57.86408
19,100,58.16289
22,100,58.443182
19,100,58.762655
27,100,59.049246
17,100,59.345108
20,100,59.641743
29,100,59.938119
20,100,60.228319
16,100,60.523457
17,100,60.813765
19,100,61.109211
16,100,61.40033
15,100,61.719254
23,100,62.023947
20,100,62.317464
15,100,62.61757
16,100,62.924211
19,100,63.224789
16,100,63.528918
18,100,63.811141
18,100,64.13094
24,100,64.439705
17,100,64.726382
18,100,65.007396
18,100,65.307842
25,100,65.599382
23,100,65.887074
25,100,66.187662
20,100,66.492032
25,100,66.783857
17,100,67.087833
21,100,67.381748
16,100,67.674474
17,100,67.971123
18,100,68.261173
27,100,68.550392
15,100,68.859228
22,100,69.151908
20,100,69.455924
20,100,69.744177
20,100,70.038519
16,100,70.313207
18,100,70.607706
7,100,70.918482
15,100,71.235439
22,100,71.528666
21,100,71.832498
23,100,72.132417
18,100,72.432279
16,100,72.746526
18,100,73.049887
16,100,73.334239
23,100,73.63403
18,100,73.93056
21,100,74.224307
20,100,74.518421
17,100,74.82567
21,100,75.11061
14,100,75.399389
17,100,75.695555
14,100,76.001144
14,100,76.297392
18,100,76.585268
19,100,76.883
22,100,77.170592
20,100,77.455722
24,100,77.748135
17,100,78.038875
20,100,78.351268
19,100,78.632129
22,100,78.927268
18,100,79.219077
19,100,79.51836
17,100,79.819303
23,100,80.121807
21,100,80.424508
21,100,80.729009
15,100,81.02641
22,100,81.334861
24,100,81.625198
22,100,81.922709
12,100,82.212108
17,100,82.508393
19,100,82.803791
25,100,83.10598
21,100,83.400429
27,100,83.696945
20,100,84.041668
23,100,84.336636
21,100,84.621454
18,100,84.909397
22,100,85.197281
23,100,85.489338
19,100,85.773097
26,100,86.066231
17,100,86.352658
19,100,86.650729
23,100,86.944158
18,100,87.244152
19,100,87.539494
21,100,87.842009
30,100,88.12993
23,100,88.428405
25,100,88.720261
31,100,89.018408
24,100,89.308426
16,100,89.614801
22,100,89.915364
16,100,90.219674
26,100,90.51348
23,100,90.823981
23,100,91.112859
26,100,91.411588
20,100,91.707963
24,100,92.000065
26,100,92.28774
30,100,92.590327
17,100,92.892813
21,100,93.185149
20,100,93.484474
30,100,93.780058
25,100,94.074409
25,100,94.36897
28,100,94.672338
21,100,94.972462
19,100,95.26748
31,100,95.56703
18,100,95.86218
23,100,96.153169
25,100,96.439388
25,100,96.733202
24,100,97.021554
24,100,97.317889
23,100,97.613097
28,100,97.910959
30,100,98.204863
22,100,98.532152
25,100,98.829077
28,100,99.110713
28,100,99.409159
23,100,99.732382
22,100,100.049806
17,100,100.340718
31,100,100.628889
21,100,100.921722
30,100,101.201836
24,100,101.488266
23,100,101.772102
26,100,102.082536
19,100,102.385329
28,100,102.678012
33,100,102.979699
20,100,103.270773
26,100,103.565508
26,100,103.85477
19,100,104.142397
19,100,104.432741
28,100,104.725509
20,100,105.009253
35,100,105.29283
24,100,105.58928
33,100,105.874516
27,100,106.185536
29,100,106.481424
27,100,106.782917
27,100,107.073647
20,100,107.371972
25,100,107.666484
21,100,107.969008
21,100,108.270609
23,100,108.572294
27,100,108.86099
28,100,109.16027
29,100,109.449749
24,100,109.747133
27,100,110.039267
24,100,110.333247
30,100,110.63119
30,100,110.929769
23,100,111.221891
19,100,111.529814
20,100,111.81868
33,100,112.115336
25,100,112.412447
32,100,112.713347
35,100,113.012365
24,100,113.309453
27,100,113.601708
23,100,113.911718
18,100,114.208359
30,100,114.523901
31,100,114.835252
25,100,115.126425
25,100,115.419621
31,100,115.71602
28,100,116.014201
30,100,116.319839
23,100,116.622282
26,100,116.919545
27,100,117.205374
22,100,117.500524
26,100,117.790344
27,100,118.093818
26,100,118.380365
33,100,118.677552
36,100,118.966078
25,100,119.261478
23,100,119.54671
27,100,119.869136
23,100,120.153376
27,100,120.445606
26,100,120.736311
26,100,121.033242
26,100,121.322915
28,100,121.616588
33,100,121.908695
31,100,122.201322
22,100,122.492892
36,100,122.78629
31,100,123.080693
32,100,123.390782
26,100,123.68777
24,100,123.975832
24,100,124.271961
30,100,124.581054
23,100,124.881488
32,100,125.179329
28,100,125.472136
24,100,125.783008
19,100,126.068197
29,100,126.355134
31,100,126.674295
25,100,127.021779
21,100,127.324927
28,100,127.62311
29,100,127.912291
30,100,128.224145
29,100,128.519456
31,100,128.816371
20,100,129.114435
31,100,129.419421
30,100,129.711263
16,100,130.009554
27,100,130.301051
23,100,130.608955
24,100,130.898391
29,100,131.202619
22,100,131.495708
29,100,131.795295
27,100,132.094867
24,100,132.394446
34,100,132.686872
28,100,132.993123
23,100,133.311062
28,100,133.612681
35,100,133.900665
30,100,134.191848
31,100,134.482664
19,100,134.772254
27,100,135.058333
27,100,135.34959
20,100,135.643551
29,100,135.94779
26,100,136.26247
27,100,136.556732
20,100,136.844229
32,100,137.152117
24,100,137.449367
22,100,137.75855
27,100,138.048621
29,100,138.339376
30,100,138.626659
23,100,138.933821
22,100,139.236274
26,100,139.540384
20,100,139.850204
23,100,140.154807
31,100,140.448508
30,100,140.740231
26,100,141.02152
25,100,141.311653
25,100,141.595297
26,100,141.886062
28,100,142.172043
28,100,142.464158
33,100,142.752774
28,100,143.048564
25,100,143.338369
26,100,143.632686
21,100,143.919972
30,100,144.223992
21,100,144.519049
30,100,144.827615
33,100,145.157573
25,100,145.457659
30,100,145.747952
28,100,146.040794
28,100,146.333465
24,100,146.629094
19,100,146.919621
20,100,147.230797
24,100,147.527856
25,100,147.834363
22,100,148.128941
23,100,148.422189
25,100,148.718589
30,100,149.01327
28,100,149.300704
29,100,149.606861
28,100,149.898324
28,100,150.197886
26,100,150.497708
25,100,150.78143
30,100,151.069485
33,100,151.371113
23,100,151.663545
31,100,151.960381
20,100,152.249165
31,100,152.548693
26,100,152.852539
24,100,153.143154
22,100,153.444956
26,100,153.738168
27,100,154.02995
26,100,154.329032
21,100,154.623099
23,100,154.940098
27,100,155.243859
27,100,155.543873
30,100,155.843431
32,100,156.141747
