#{"t_start": 1629095788.8838027, "env_id": null}
r,l,t
17,100,3.246043
11,100,3.776508
11,100,4.31231
10,100,4.859517
11,100,5.371523
5,100,5.865996
12,100,6.39174
7,100,6.921587
10,100,7.474361
13,100,7.963229
11,100,8.474075
14,100,9.020037
11,100,9.577778
12,100,10.089281
12,100,10.628391
11,100,11.170747
13,100,11.825442
6,100,12.420366
14,100,13.039309
6,100,13.604379
7,100,14.149323
14,100,14.666577
10,100,15.177541
10,100,15.684189
15,100,16.19594
14,100,16.712283
13,100,17.262625
19,100,17.771766
18,100,18.277767
17,100,18.80118
14,100,19.321388
11,100,19.876598
17,100,20.407357
16,100,20.957647
13,100,21.535491
11,100,22.155088
15,100,22.769539
9,100,23.309326
6,100,23.84836
16,100,24.375139
12,100,24.922374
14,100,25.477789
12,100,26.035417
15,100,26.567922
4,100,27.145908
11,100,27.693633
14,100,28.191771
13,100,28.721035
15,100,29.289167
16,100,29.849816
10,100,30.376495
13,100,30.889211
8,100,31.450402
7,100,31.950893
12,100,32.499322
13,100,33.04326
21,100,33.552747
10,100,34.040656
16,100,34.581481
7,100,35.110647
11,100,35.606909
8,100,36.128486
20,100,36.650622
15,100,37.137165
7,100,37.645029
9,100,38.135341
15,100,38.658401
15,100,39.192295
9,100,39.703638
7,100,40.229432
12,100,40.795408
7,100,41.32167
8,100,41.878808
3,100,42.436041
9,100,43.001242
14,100,43.529351
15,100,44.041896
13,100,44.563545
15,100,45.119763
16,100,45.663207
15,100,46.2369
16,100,46.841324
15,100,47.413617
16,100,47.946146
8,100,48.512976
9,100,49.036559
6,100,49.563664
5,100,50.087442
12,100,50.640906
12,100,51.168761
15,100,51.724565
12,100,52.259563
14,100,52.772303
12,100,53.334562
20,100,53.91769
19,100,54.466292
13,100,54.997279
18,100,55.535583
11,100,56.1181
13,100,56.664306
13,100,57.186374
18,100,57.68593
12,100,58.181429
17,100,58.71902
12,100,59.300218
14,100,59.795788
11,100,60.365615
13,100,60.917287
18,100,61.50859
18,100,62.061144
16,100,62.642916
5,100,63.228293
14,100,63.845663
13,100,64.446935
5,100,65.008428
13,100,65.532206
16,100,66.091767
12,100,66.653145
10,100,67.197635
15,100,67.760203
10,100,68.292945
12,100,68.802386
15,100,69.316614
15,100,69.87403
14,100,70.400172
13,100,70.971641
16,100,71.525344
15,100,72.053297
14,100,72.639077
18,100,73.188478
12,100,73.763557
13,100,74.316662
17,100,74.907453
10,100,75.559242
15,100,76.220855
8,100,76.914421
17,100,77.610198
15,100,78.266153
11,100,78.930466
9,100,79.58065
14,100,80.110509
14,100,80.64209
13,100,81.212678
20,100,81.760394
14,100,82.329009
10,100,82.882977
18,100,83.430328
9,100,83.975222
11,100,84.489391
14,100,85.04674
16,100,85.573416
9,100,86.098469
12,100,86.615101
11,100,87.177829
13,100,87.725858
13,100,88.29744
9,100,88.876372
15,100,89.474477
11,100,90.047549
10,100,90.596052
13,100,91.167508
10,100,91.721585
10,100,92.276278
12,100,92.800812
8,100,93.339694
23,100,93.846358
18,100,94.384945
18,100,94.912202
13,100,95.49417
11,100,96.045753
8,100,96.575579
12,100,97.107918
12,100,97.657657
15,100,98.170838
14,100,98.742783
14,100,99.269694
14,100,99.822044
15,100,100.345446
14,100,100.848033
13,100,101.363731
9,100,101.904207
11,100,102.450566
12,100,102.995247
22,100,103.570882
20,100,104.154606
13,100,104.740127
17,100,105.247071
12,100,105.754404
18,100,106.2738
17,100,106.835783
18,100,107.41203
14,100,107.944925
16,100,108.514705
14,100,109.010958
15,100,109.506512
16,100,110.040464
14,100,110.569028
21,100,111.111722
11,100,111.643471
15,100,112.203761
16,100,112.785598
14,100,113.335086
26,100,113.875372
18,100,114.479308
21,100,115.051495
14,100,115.581001
23,100,116.136083
18,100,116.650278
12,100,117.219337
17,100,117.734556
13,100,118.303225
15,100,118.843582
22,100,119.364249
17,100,119.880523
15,100,120.384029
15,100,120.898724
9,100,121.398862
16,100,121.934005
16,100,122.475456
14,100,123.041653
13,100,123.543526
14,100,124.108066
18,100,124.680434
16,100,125.163483
16,100,125.672209
10,100,126.150839
21,100,126.673194
13,100,127.21261
8,100,127.73166
15,100,128.24622
14,100,128.7561
15,100,129.273225
18,100,129.834201
17,100,130.381294
18,100,130.936344
14,100,131.44276
23,100,131.979229
12,100,132.514622
16,100,133.088279
14,100,133.621032
15,100,134.179253
13,100,134.71923
18,100,135.288941
18,100,135.848068
21,100,136.4134
15,100,136.966545
19,100,137.50694
11,100,138.023881
15,100,138.579932
12,100,139.117213
19,100,139.705783
15,100,140.266182
18,100,140.844584
10,100,141.429782
13,100,141.965265
13,100,142.542359
13,100,143.10541
18,100,143.648428
19,100,144.224574
20,100,144.788478
14,100,145.351602
21,100,145.926476
21,100,146.521885
15,100,147.0877
16,100,147.6657
16,100,148.252133
22,100,148.831244
20,100,149.373623
14,100,149.942506
24,100,150.516658
20,100,151.086426
14,100,151.652856
26,100,152.174386
19,100,152.688899
10,100,153.241978
14,100,153.840227
19,100,154.390259
23,100,154.984
16,100,155.503056
23,100,156.011949
15,100,156.568738
12,100,157.106772
12,100,157.67469
10,100,158.232672
19,100,158.817586
14,100,159.392372
28,100,159.920141
18,100,160.421376
23,100,160.945246
14,100,161.47045
18,100,162.015293
17,100,162.544612
17,100,163.129377
26,100,163.697862
19,100,164.243517
22,100,164.796957
24,100,165.397389
23,100,165.946858
20,100,166.521837
19,100,167.042907
26,100,167.567372
20,100,168.095318
21,100,168.651345
22,100,169.201247
18,100,169.770137
18,100,170.31225
22,100,170.831936
20,100,171.36108
14,100,171.890733
17,100,172.413358
21,100,172.940235
22,100,173.504935
12,100,174.105558
17,100,174.673386
19,100,175.243957
22,100,175.807594
17,100,176.340616
24,100,176.879296
16,100,177.399419
26,100,177.910086
17,100,178.402537
17,100,178.884765
14,100,179.401488
10,100,179.956482
12,100,180.514543
18,100,181.056763
24,100,181.58384
23,100,182.101834
22,100,182.620442
22,100,183.139272
10,100,183.635867
9,100,184.171145
20,100,184.726357
14,100,185.281811
17,100,185.855158
25,100,186.421369
7,100,186.951518
23,100,187.472592
16,100,188.008252
15,100,188.571004
29,100,189.156943
19,100,189.704992
15,100,190.267552
25,100,190.838564
19,100,191.406317
29,100,191.931705
20,100,192.502975
26,100,193.022347
23,100,193.558059
16,100,194.122603
22,100,194.694795
29,100,195.251171
21,100,195.841092
33,100,196.388218
34,100,196.901147
26,100,197.512687
26,100,198.066391
21,100,198.595511
29,100,199.189884
26,100,199.755019
17,100,200.287656
22,100,200.885968
19,100,201.454153
18,100,202.010782
17,100,202.559323
22,100,203.095918
24,100,203.661137
16,100,204.189121
14,100,204.737822
25,100,205.297973
30,100,205.851902
17,100,206.421316
23,100,206.994441
25,100,207.563693
16,100,208.146885
21,100,208.705536
24,100,209.293222
31,100,209.802248
20,100,210.334225
23,100,210.864728
30,100,211.382245
31,100,211.910356
30,100,212.479083
28,100,213.017581
29,100,213.57268
22,100,214.069106
27,100,214.587868
24,100,215.144667
26,100,215.696905
30,100,216.245744
23,100,216.816917
25,100,217.376081
24,100,217.884306
27,100,218.416249
27,100,218.983155
28,100,219.491379
24,100,220.009101
28,100,220.489799
29,100,221.043228
20,100,221.574211
25,100,222.108894
31,100,222.639853
31,100,223.188723
28,100,223.734201
25,100,224.286339
37,100,224.814254
20,100,225.323309
14,100,225.8957
20,100,226.486743
